	id	premises	h	label
0	334	Smith knew that ITEL had won the contract in 1992.	ITEL won the contract in 1992.	yes
1	335	Smith believed that ITEL had won the contract in 1992.	ITEL won the contract in 1992.	unknown
2	336	ITEL managed to win the contract in 1992.	ITEL won the contract in 1992.	yes
3	337	ITEL tried to win the contract in 1992.	ITEL won the contract in 1992.	unknown
4	338	It is true that ITEL won the contract in 1992.	ITEL won the contract in 1992.	yes
5	339	It is false that ITEL won the contract in 1992.	ITEL won the contract in 1992.	no
6	340	Smith saw Jones sign the contract. ## If Jones signed the contract, his heart was beating.	Smith saw Jones' heart beat.	unknown
7	341	Smith saw Jones sign the contract. ## When Jones signed the contract, his heart was beating.	Smith saw Jones' heart beat.	unknown
8	342	Smith saw Jones sign the contract.	Jones signed the contract.	yes
9	343	Smith saw Jones sign the contract. ## Jones is the chairman of ITEL.	Smith saw the chairman of ITEL sign the contract.	yes
10	344	Helen saw the chairman of the department answer the phone. ## The chairman of the department is a person.	There is someone whom Helen saw answer the phone.	yes
11	345	Smith saw Jones sign the contract and his secretary make a copy.	Smith saw Jones sign the contract.	yes
12	346	Smith saw Jones sign the contract or cross out the crucial clause.	Smith either saw Jones sign the contract or saw Jones cross out the crucial clause.	yes
